Week,TRx_Quantity,NRx_Quantity
2019-11-15,9125465,4243085
2019-11-08,9090875,4125792
2019-11-01,8852522,4120781
2019-10-25,8871654,4128616
2019-10-18,8631194,3949996
2019-10-11,8699942,4066139
2019-10-04,8530965,4002500
2019-09-27,8400806,3919429
2019-09-20,8494423,3972195
2019-09-13,8467050,3940842
2019-09-06,7598119,3303855
2019-08-30,8236789,3826598
2019-08-23,7981216,3711241
2019-08-16,7902656,3720325
2019-08-09,7316076,3402477
2019-08-02,7906594,3638799
2019-07-26,7757022,3592152
2019-07-19,7659792,3571163
2019-07-12,7713212,3558602
2019-07-05,7000435,3044106
2019-06-28,7493553,3506639
2019-06-21,7399786,3555484
2019-06-14,7350696,3500271
2019-06-07,7581192,3598269
2019-05-31,6723789,3022813
2019-05-24,7042278,3346037
2019-05-17,6971301,3337844
2019-05-10,7037681,3388767
2019-05-03,7108668,3407928
2019-04-26,6552737,3216643
2019-04-19,6668861,3252563
2019-04-12,6691112,3341689
2019-04-05,6704552,3354087
2019-03-29,6412900,3273628
2019-03-22,6348979,3252295
2019-03-15,6414822,3295272
2019-03-08,6401151,3256457
2019-03-01,6281120,3233682
2019-02-22,5877147,3107337
2019-02-15,5887923,3065224
2019-02-08,5696408,2893205
2019-02-01,5598188,2919224
2019-01-25,5342654,2706990
2019-01-18,5327338,2683050
2019-01-11,5352218,2616445
2019-01-04,4749209,1976753
2018-12-28,4464731,1791807
2018-12-21,5498447,2762692
2018-12-14,5491644,2692177
2018-12-07,5534246,2737739
2018-11-30,5268107,2513425
2018-11-23,4526283,2096720
2018-11-16,5058342,2494845
2018-11-09,4925728,2306096
2018-11-02,4786046,2261711
2018-10-26,4700755,2227469
2018-10-19,4674477,2208951
2018-10-12,4642231,2162620
2018-10-05,4701597,2240938
2018-09-28,4491914,2105496
2018-09-21,4338464,1921037
2018-09-14,4437051,1990519
2018-09-07,4079228,1737582
2018-08-31,4309426,1913513
2018-08-24,4241530,1894699
2018-08-17,4197897,1896714
2018-08-10,4310577,1911465
2018-08-03,4197387,1841982
2018-07-27,4231197,1911021
2018-07-20,4179145,1878578
2018-07-13,4239226,1899498
2018-07-06,3918629,1643994
2018-06-29,4121632,1856837
2018-06-22,4041565,1807120
2018-06-15,4194864,1910267
2018-06-08,4102497,1849606
2018-06-01,3795059,1653235
2018-05-25,4055405,1856940
2018-05-18,3984828,1790454
2018-05-11,3960100,1804942
2018-05-04,4058293,1831966
2018-04-27,3966199,1849512
2018-04-20,3930914,1823177
2018-04-13,3858615,1782616
